customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,ChargesMonthly,ChargesTotal,Cuentas_Diarias,tenure_interval,TotalPayed,TotalPayed_interval
0002-ORFBO,0,0,0,1,1,9,1,0,0,0,1,0,1,1,0,1,1,1,65.6,593.3,2.1866666666666665,"(6, 12]",590.4,"(500, 1000]"
0003-MKNFE,0,1,0,0,0,9,1,1,0,0,0,0,0,0,1,0,0,1,59.9,542.4,1.9966666666666666,"(6, 12]",539.1,"(500, 1000]"
0004-TLHLJ,1,1,0,0,0,4,1,0,1,0,0,1,0,0,0,0,1,0,73.9,280.85,2.4633333333333334,"(0, 6]",295.6,"(0, 500]"
0011-IGKFF,1,1,1,1,0,13,1,0,1,0,1,1,0,1,1,0,1,0,98.0,1237.85,3.2666666666666666,"(12, 18]",1274.0,"(1000, 1500]"
0013-EXCHZ,1,0,1,1,0,3,1,0,1,0,0,0,1,1,0,0,1,1,83.9,267.4,2.796666666666667,"(0, 6]",251.70000000000002,"(0, 500]"
0013-MHZWF,0,0,0,0,1,9,1,0,0,0,0,0,1,1,1,0,1,3,69.4,571.45,2.3133333333333335,"(6, 12]",624.6,"(500, 1000]"
0013-SMEOE,0,0,1,1,0,71,1,0,1,1,1,1,1,1,1,2,1,2,109.7,7904.25,3.6566666666666667,"(66, 72]",7788.7,"(7500, 8000]"
0014-BMAQU,0,1,0,1,0,63,1,1,1,1,0,0,1,0,0,2,1,3,84.65,5377.8,2.8216666666666668,"(60, 66]",5332.950000000001,"(5000, 5500]"
0015-UOCOJ,0,0,1,0,0,7,1,0,0,1,0,0,0,0,0,0,1,0,48.2,340.35,1.6066666666666667,"(6, 12]",337.40000000000003,"(0, 500]"
0016-QLJIS,0,0,0,1,1,65,1,1,0,1,1,1,1,1,1,2,1,1,90.45,5957.9,3.015,"(60, 66]",5879.25,"(5500, 6000]"
0017-DINOC,0,1,0,0,0,54,0,-1,0,1,0,0,1,1,0,2,0,3,45.2,2460.55,1.5066666666666668,"(48, 54]",2440.8,"(2000, 2500]"
0017-IUDMW,0,0,0,1,1,72,1,1,1,1,1,1,1,1,1,2,1,3,116.8,8456.75,3.893333333333333,"(66, 72]",8409.6,"(8000, 8500]"
0018-NYROU,0,0,0,1,0,5,1,0,1,0,0,0,0,0,0,0,1,0,68.95,351.5,2.2983333333333333,"(0, 6]",344.75,"(0, 500]"
0019-EFAEP,0,0,0,0,0,72,1,1,1,1,1,1,0,1,0,2,1,2,101.3,7261.25,3.3766666666666665,"(66, 72]",7293.599999999999,"(7000, 7500]"
0019-GFNTW,0,0,0,0,0,56,0,-1,0,1,1,1,1,0,0,2,0,2,45.05,2560.1,1.5016666666666665,"(54, 60]",2522.7999999999997,"(2500, 3000]"
0020-INWCK,0,0,0,1,1,71,1,1,1,0,1,1,0,0,1,2,1,3,95.75,6849.4,3.191666666666667,"(66, 72]",6798.25,"(6500, 7000]"
0020-JDNXP,0,0,0,1,1,34,0,-1,0,1,0,1,1,1,1,1,0,1,61.25,1993.2,2.0416666666666665,"(30, 36]",2082.5,"(2000, 2500]"
0021-IKXGC,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,72.1,72.1,2.4033333333333333,"(0, 6]",72.1,"(0, 500]"
0022-TCJCI,1,1,1,0,0,45,1,0,0,1,0,1,0,0,1,1,0,3,62.7,2791.5,2.0900000000000003,"(42, 48]",2821.5,"(2500, 3000]"
0023-HGHWL,1,1,1,0,0,1,0,-1,0,0,0,0,0,0,0,0,1,0,25.1,25.1,0.8366666666666667,"(0, 6]",25.1,"(0, 500]"
0023-UYUPN,0,0,1,1,0,50,1,1,-1,-1,-1,-1,-1,-1,-1,1,0,0,25.2,1306.3,0.84,"(48, 54]",1260.0,"(1000, 1500]"
0023-XUOPT,1,0,0,1,0,13,1,1,1,0,1,1,0,1,0,0,0,0,94.1,1215.6,3.1366666666666663,"(12, 18]",1223.3,"(1000, 1500]"
0027-KWYKW,0,0,0,1,1,23,1,1,1,0,0,0,0,1,0,0,1,0,83.75,1849.95,2.7916666666666665,"(18, 24]",1926.25,"(1500, 2000]"
0030-FNXPP,0,0,0,0,0,3,1,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,19.85,57.2,0.6616666666666667,"(0, 6]",59.550000000000004,"(0, 500]"
0031-PVLZI,1,0,0,1,1,4,1,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,20.35,76.35,0.6783333333333333,"(0, 6]",81.4,"(0, 500]"
0032-PGELS,1,0,0,1,1,1,0,-1,0,1,0,0,0,0,0,0,0,2,30.5,30.5,1.0166666666666666,"(0, 6]",30.5,"(0, 500]"
